compound,smiles
367-25-9,c1c(N)c(F)cc(F)c1
371-40-4,c1c(F)ccc(N)c1
371-41-5,c1c(F)ccc(O)c1
37174-09-7,CCN(CC)CC(F)(F)F
372-18-9,Fc1cc(F)ccc1
372-19-0,c1c(F)cc(N)cc1
372-20-3,c1c(F)cc(O)cc1
37813-54-0,c1c(SC)nnc(SC)c1
38557-71-0,n1cc(C)nc(Cl)c1
38580-89-1,CN(C)C(=O)OC(C)C
38696-40-1,CCCC1=CSSC1=S
3934-20-1,n1c(Cl)ccnc1Cl
402-45-9,FC(F)(F)c1ccc(O)cc1
4033-40-3,NC(=O)C(NC(=O)C)CC(=O)O
406-95-1,CC(=O)OCC(F)(F)F
41992-55-6,C1(Cl)C(Cl)C(Cl)C(Cl)C=C1
426-65-3,FC(F)(F)C(F)(F)C(=O)OCC
431-89-0,FC(F)(F)C(F)C(F)(F)F
434-75-3,OC(=O)c1c(Cl)cccc1F
444-30-4,c1c(O)c(C(F)(F)F)ccc1
445-29-4,c1c(F)c(C(=O)O)ccc1
455-38-9,c1c(F)cc(C(=O)O)cc1
4597-87-9,c1c(NC)nccc1
462-06-6,c1ccccc1F
463-49-0,C=C=C
463-82-1,CC(C)(C)C
464-07-3,CC(C)(C)C(C)O
4684-94-0,c1cc(C(=O)O)nc(Cl)c1
4774-14-5,n1cc(Cl)nc(Cl)c1
4774-15-6,n1cc(OC)nc(OC)c1
488-93-7,C1(C(=O)O)=COC=C1
498-62-4,C1(C=O)=CSC=C1
50-69-1,C1(CO)C(O)C(O)C(O)O1
50-81-7,O1C(=O)C(O)=C(O)C1C(O)CO
50-99-7,C1(O)C(O)C(O)C(O)C(CO)O1
503-74-2,OC(=O)CC(C)C
504-63-2,OCCCO
507-52-8,FC(F)(F)C(O)(C)C
50995-95-4,N1C=CN=C1CCC
51-35-4,C1C(O)CC(C(=O)O)N1
513-35-9,CC=C(C)C
513-36-0,CC(C)CCl
515-84-4,CCOC(=O)C(Cl)(Cl)Cl
5162-44-7,BrCCC=C
51795-30-3,C1(Cl)C(Cl)C(Cl)C(Cl)C(Cl)=C1
5194-50-3,CC=CC=CC
5194-51-4,CC=CC=CC
52-52-8,C1CC(N)(C(=O)O)CC1
52514-89-3,CCC1=CC(=S)SS1
527-72-0,C1=C(C(=O)O)SC=C1
533-45-9,S1C(CCCl)=C(C)N=C1
533-58-4,c1c(I)c(O)ccc1
534-22-5,C1=C(C)OC=C1
534-25-8,S=C1C=CSS1
535-80-8,c1c(Cl)cc(C(=O)O)cc1
5380-42-7,COC(=O)C1=CC=CS1
5398-44-7,OC(=O)c1cc(Cl)nc(Cl)c1
540-38-5,c1c(I)ccc(O)c1
540-54-5,CCCCl
540-88-5,CC(=O)OC(C)(C)C
54083-24-8,C1(Cl)C(Cl)C(Cl)C(Cl)C(Cl)=C1
54083-25-9,C1(Cl)C(Cl)C(Cl)C(Cl)C(Cl)=C1
541-73-1,c1c(Cl)cc(Cl)cc1
54135-81-8,c1c(Cl)c(Cl)c(OC)cc1Cl
54135-82-9,c1c(Cl)c(Cl)c(Cl)cc1OC
542-69-8,CCCCI
543-59-9,CCCCCCl
544-10-5,CCCCCCCl
5509-65-9,Nc1c(F)cccc1F
55265-51-5,BrC1C(F)C(Cl)C(Cl)C(Cl)C1Cl
554-00-7,c1c(N)c(Cl)cc(Cl)c1
554-14-3,C1=C(C)SC=C1
55486-68-5,CCC1=C(C)SSC1=S
556-24-1,COC(=O)CC(C)C
556-33-2,NCC(=O)NCC(=O)NCC(=O)O
556-50-3,NCC(=O)NCC(=O)O
557-01-7,C1=CC=NC(=O)N1
56-12-2,NCCCC(=O)O
56-23-5,ClC(Cl)(Cl)Cl
56-41-7,NC(C)C(=O)O
56-45-1,OCC(N)C(=O)O
56-81-5,OCC(O)CO
56-84-8,NC(C(=O)O)CC(=O)O
56-85-9,NC(=O)CCC(N)C(=O)O
56086-55-6,C1(F)C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
5621-02-3,n1c(N(C)C)nccc1
5666-21-7,C=CCNCCC
56961-77-4,Brc1cccc(Cl)c1Cl
56994-25-3,C1C(Cl)C(Cl)C(Cl)C=C1
57-15-8,ClC(Cl)(Cl)C(O)(C)C
5728-21-2,CC1=NSN=C1C
57383-80-9,Brc1c(Br)cccc1O
57722-15-3,C1(Cl)C(Cl)C(Cl)C(Cl)C(Cl)=C1Cl
57722-16-4,C1(Cl)C(Cl)C(Cl)C(Cl)C(Cl)=C1Cl
57722-17-5,C1(Cl)C(Cl)C(Cl)C(Cl)C(Cl)=C1Cl
583-78-8,c1c(Cl)cc(O)c(Cl)c1
584-02-1,CCC(O)CC
585-76-2,c1c(Br)cc(C(=O)O)cc1
586-76-5,c1c(Br)ccc(C(=O)O)c1
587-04-2,O=Cc1cc(Cl)ccc1
590-18-1,CC=CC
590-36-3,CCCC(C)(O)C
591-19-5,c1c(Br)cc(N)cc1
591-20-8,c1c(Br)cc(O)cc1
591-35-5,c1(Cl)cc(O)cc(Cl)c1
591-50-4,c1ccccc1I
591-78-6,CC(=O)CCCC
591-93-5,C=CCC=C
592-41-6,C=CCCCC
592-45-0,C=CCC=CC
592-50-7,CCCCCF
592-57-4,C1C=CC=CC1
59229-56-0,C1(Cl)C(Cl)C(Cl)C(Cl)C(Cl)=C1Cl
593-60-2,C=CBr
59303-10-5,n1c(C)cnc(Cl)c1
594-60-5,CC(C)C(O)(C)C
598-98-1,COC(=O)C(C)(C)C
598-99-2,ClC(Cl)(Cl)C(=O)OC
60-32-2,NCCCCCC(=O)O
60-34-4,NNC
60-35-5,CC(=O)N
60067-92-7,C1(Cl)C(Cl)CC(Cl)C(Cl)C1
601-84-3,OC(=O)c1c(Br)cccc1Br
60633-26-3,Clc1cc(Cl)cc(Br)c1OC
607-99-8,c1(Br)cc(Br)c(OC)c(Br)c1
608-27-5,c1c(N)c(Cl)c(Cl)cc1
608-31-1,c1c(Cl)c(N)c(Cl)cc1
608-33-3,Brc1cccc(Br)c1O
608-93-5,c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
60828-33-3,CC(O)C(C(=O)N)NC(=O)C
609-19-8,c1(O)cc(Cl)c(Cl)c(Cl)c1
609-23-4,Oc1c(I)cc(I)cc1I
61-90-5,CC(C)CC(N)C(=O)O
6108-61-8,CC=CC=CC
611-13-2,C1=COC(C(=O)OC)=C1
6125-90-2,CCC1=C(C)C(=S)SS1
61345-66-2,NC(=O)NC(=O)C(Cl)C(C)C
615-36-1,c1c(Br)c(N)ccc1
615-43-0,c1c(I)c(N)ccc1
615-58-7,c1c(O)c(Br)cc(Br)c1
615-67-8,c1c(O)c(Cl)cc(O)c1
615-77-0,N1(C)C(=O)NC(=O)C=C1
616-06-8,CCCCC(N)C(=O)O
616-44-4,C1(C)=CSC=C1
61655-72-9,n1cc(Cl)nc(N(C)C)c1
618-51-9,c1c(I)cc(C(=O)O)cc1
618-76-8,OC(=O)c1cc(I)c(O)c(I)c1
620-08-6,c1c(OC)ccnc1
620957-93-9,O=C1SSC(C(=O)C)=C1
620957-94-0,O=C1SSC(C(=O)C)=C1C
62182-10-9,O1C(O)C(F)C(O)C(O)C1CO
623-37-0,CCC(O)CCC
623-42-7,CCCC(=O)OC
624-24-8,CCCCC(=O)OC
624-64-6,CC=CC
624-73-7,ICCI
624-89-5,CCSC
624-92-0,CSSC
625-80-9,CC(C)SC(C)C
625-84-3,CC1=CC=C(C)N1
625-86-5,CC1=CC=C(C)O1
626-01-7,c1c(I)cc(N)cc1
626-02-8,c1c(I)cc(O)cc1
626-39-1,c1(Br)cc(Br)cc(Br)c1
626-43-7,c1(Cl)cc(N)cc(Cl)c1
626-55-1,c1cc(Br)cnc1
626-60-8,c1cc(Cl)cnc1
626-61-9,c1c(Cl)ccnc1
626-67-5,C1CCN(C)CC1
626-93-7,CC(O)CCCC
627-31-6,ICCCI
628-17-1,CCCCCI
628-28-4,COCCCC
628-41-1,C1C=CCC=C1
628-81-9,CCOCCCC
6293-55-6,O=C1C(Br)=CC(=O)C=C1C
630-20-6,ClC(Cl)(Cl)CCl
634-91-3,c1(N)cc(Cl)c(Cl)c(Cl)c1
636-28-2,c1(Br)c(Br)cc(Br)c(Br)c1
636-30-6,c1(N)c(Cl)cc(Cl)c(Cl)c1
637-78-5,CCC(=O)OC(C)C
637-87-6,Ic1ccc(Cl)cc1
638-45-9,CCCCCCI
643-15-2,C1(Cl)C(Cl)C(Cl)C(Cl)C(Cl)=C1
651-85-4,c1(F)c(F)c(F)c(S(=O)(=O)C)c(F)c1F
6515-38-4,c1(Cl)c(Cl)cc(Cl)c(O)n1
6556-12-3,C1(C(=O)O)C(O)C(O)C(O)C(O)O1
65611-47-4,FC(F)(F)CCCCCO
66-22-8,N1C(=O)NC(=O)C=C1
66-25-1,CCCCCC=O
660-88-8,NCCCCC(=O)O
6600-40-4,CCCC(N)C(=O)O
67-51-6,CC1=NNC(C)=C1
67-52-7,C1(=O)NC(=O)NC(=O)C1
67-66-3,ClC(Cl)Cl
67-68-5,CS(=O)C
67-72-1,ClC(Cl)(Cl)C(Cl)(Cl)Cl
68-12-2,O=CN(C)C
68-94-0,C12=C(NC=N1)C(=O)NC=N2
6915-15-7,OC(=O)C(O)CC(=O)O
6936-40-9,c1c(Cl)c(Cl)c(OC)c(Cl)c1Cl
695-19-2,C1(=O)C=CN(C)C=C1
70-47-3,NC(=O)CC(N)C(=O)O
71-00-1,N1=CNC=C1CC(N)C(=O)O
71-33-0,N1C=NC(=O)NC1=O
71-41-0,CCCCCO
71-43-2,c1ccccc1
71-55-6,ClC(Cl)(Cl)C
7113-30-6,CCC1=CSSC1=S
72-18-4,CC(C)C(N)C(=O)O
72-19-5,OC(C)C(N)C(=O)O
73-32-5,CCC(C)C(N)C(=O)O
7314-32-1,CS(=O)(=O)CCC(N)C(=O)O
74-83-9,CBr
74-84-0,CC
74-85-1,C=C
74-88-4,CI
74-96-4,CCBr
74-97-5,BrCCl
74-98-6,CCC
7491-74-9,NC(=O)CN1CCCC1=O
75-00-3,CCCl
75-01-4,C=CCl
75-03-6,CCI
75-09-2,ClCCl
75-11-6,ICI
75-12-7,O=CN
75-15-0,S=C=S
75-18-3,CSC
75-28-5,CC(C)C
75-34-3,CC(Cl)Cl
75-69-4,FC(Cl)(Cl)Cl
75-71-8,ClC(Cl)(F)F
75-83-2,CCC(C)(C)C
75-84-3,CC(C)(C)CO
75-87-6,O=CC(Cl)(Cl)Cl
75-97-8,CC(=O)C(C)(C)C
75-98-9,OC(=O)C(C)(C)C
75-99-0,CC(Cl)(Cl)C(=O)O
7541-59-5,OCC(O)C(O)CO
76-01-7,ClC(Cl)(Cl)C(Cl)Cl
76-03-9,OC(=O)C(Cl)(Cl)Cl
76-16-4,FC(F)(F)C(F)(F)F
760-78-1,CCCC(N)C(=O)O
7606-79-3,CC(=O)NCC(=O)NC
77-92-9,OC(=O)CC(O)(C(=O)O)CC(=O)O
771-61-9,c1(O)c(F)c(F)c(F)c(F)c1F
77580-78-0,CC1=NON=C1CCC
79-01-6,ClC=C(Cl)Cl
79-16-3,CC(=O)NC
79-29-8,CC(C)C(C)C
79-34-5,ClC(Cl)C(Cl)Cl
80-58-0,CCC(Br)C(=O)O
80-60-4,CCC(N)C(=O)O
819-06-7,FC(F)(F)CN(C)C
822-86-6,C1C(Cl)C(Cl)CCC1
823-09-6,n1c(SC)nccc1
83293-50-9,CCNC(CO)C(=O)O
84652-30-2,NC(=O)CC(NC(=O)C)C(=O)N
87-40-1,c1c(Cl)c(OC)c(Cl)cc1Cl
87-61-6,c1c(Cl)c(Cl)c(Cl)cc1
87-65-0,c1c(Cl)c(O)c(Cl)cc1
87-68-3,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
87-69-4,OC(=O)C(O)C(O)C(=O)O
87-82-1,c1(Br)c(Br)c(Br)c(Br)c(Br)c1Br
872-31-1,C1=CC(Br)=CS1
872-55-9,C1=CSC(CC)=C1
88-09-5,CCC(CC)C(=O)O
88-13-1,C1(C(=O)O)=CSC=C1
88-15-3,C1=CSC(C(=O)C)=C1
88-65-3,c1c(Br)c(C(=O)O)ccc1
88-67-5,c1c(I)c(C(=O)O)ccc1
88095-60-7,N1N=CC(OCCC)=C1
88511-48-2,n1c(C(=O)N)nccc1
89-98-5,c1c(Cl)c(C=O)ccc1
89674-85-1,C1(Cl)c(Cl)C(Cl)C=C(Cl)c1
89674-87-3,C1(Cl)C(Cl)C(Cl)C=C(Cl)C1
89674-88-4,C1(Cl)C(Cl)C(Cl)C=C(Cl)C1
921-60-8,OCC(O)C(O)C(O)C(O)C=O
927-62-8,CCCCN(C)C
927-68-4,CC(=O)OCCBr
94-97-3,N1c2ccc(Cl)cc2N=N1
94-99-5,c1c(Cl)cc(Cl)c(CCl)c1
95-14-7,N1=Nc2ccccc2N1
95-50-1,c1c(Cl)c(Cl)ccc1
95-51-2,c1c(Cl)c(N)ccc1
95-56-7,c1c(Br)c(O)ccc1
95-76-1,c1c(N)cc(Cl)c(Cl)c1
95-77-2,c1c(O)cc(Cl)c(Cl)c1
95-82-9,c1c(Cl)cc(N)c(Cl)c1
95-83-0,Nc1ccc(Cl)cc1N
95-85-2,Oc1ccc(Cl)cc1N
95-89-6,c1c(C)nc(Cl)c(C)n1
95-94-3,c1(Cl)c(Cl)cc(Cl)c(Cl)c1
95853-68-2,FC(F)(F)C(C)CCO
96-14-0,CCC(C)CC
96-37-7,C1CC(C)CC1
96-43-5,C1=CC=C(Cl)S1
96-47-9,CC1CCCO1
96-54-8,C1=CN(C)C=C1
97-61-0,CCCC(C)C(=O)O
97-62-1,CC(C)C(=O)OCC
97-63-2,C=C(C)C(=O)OCC
97-69-8,CC(=O)NC(C)C(=O)O
97-95-0,CCC(CC)CO
98-03-3,C1=C(C=O)SC=C1
